"count","date","ProvinceState","CountryRegion","Lat","Long","oztime","statetime","int","slope"
11,"2020/03/03","Queensland","Australia","-28.0167","153.4",0,0,0,0
11,"2020/03/04","Queensland","Australia","-28.0167","153.4",1,1,0,0
13,"2020/03/05","Queensland","Australia","-28.0167","153.4",2,2,0,0
13,"2020/03/06","Queensland","Australia","-28.0167","153.4",3,3,0,0
13,"2020/03/07","Queensland","Australia","-28.0167","153.4",4,4,0,0
15,"2020/03/08","Queensland","Australia","-28.0167","153.4",5,5,0,0
15,"2020/03/09","Queensland","Australia","-28.0167","153.4",6,6,0,0
18,"2020/03/10","Queensland","Australia","-28.0167","153.4",7,7,2.35290607975522,0.0691515877264118
20,"2020/03/11","Queensland","Australia","-28.0167","153.4",8,8,2.32750072598167,0.0774878273420072
20,"2020/03/12","Queensland","Australia","-28.0167","153.4",9,9,2.27335701327543,0.0838200967312692
35,"2020/03/13","Queensland","Australia","-28.0167","153.4",10,10,1.85900919793541,0.151732038220625
46,"2020/03/14","Queensland","Australia","-28.0167","153.4",11,11,1.4462671841933,0.206716379116782
61,"2020/03/15","Queensland","Australia","-28.0167","153.4",12,12,0.992896275248229,0.2560167019444
68,"2020/03/16","Queensland","Australia","-28.0167","153.4",13,13,0.987348493406615,0.253270382046581
78,"2020/03/17","Queensland","Australia","-28.0167","153.4",14,14,1.14359557211512,0.235881902784269
94,"2020/03/18","Queensland","Australia","-28.0167","153.4",15,15,1.40728003202463,0.212858129699458
144,"2020/03/19","Queensland","Australia","-28.0167","153.4",16,16,1.40292135469826,0.217222216877453
